index,target
26461447,3343
26464220,3251
26467473,5223
26468989,4120
26471705,4222
26476036,5412
26480630,9621
26480759,9622
26483824,9621
26483941,4222
26484949,9621
26490413,6121
26490523,4323
26491255,2211
26492212,1213
26493035,4224
26496645,9321
26499791,9621
26500507,9321
26618031,9112
26629487,1213
26711094,1213
26715601,8331
26760335,4132
26852211,4222
26879318,7412
26915525,5223
27004627,2240
27086721,5223
27194584,7512
27207501,3323
27238338,3312
27273737,3343
27293528,3221
27322282,8321
27338657,4222
27519690,2211
27599217,4323
27616721,7112
27696979,1221
27744164,5120
27908006,2211
27950280,2433
28079529,5120
28120654,7131
28131000,8322
28164499,1321
28287003,2433
28322781,4323
28362883,8342
28408997,1219
28502380,5223
28544924,1213
28580642,9334
28656067,7111
28682557,9333
28713996,9333
28779402,1219
29045035,2240
29251830,4323
29265059,7223
29317983,8322
29335958,6121
29403222,5223
29412417,1349
29512587,9621
29621132,4222
29699806,8311
29961376,8321
30100994,2522
30135163,4222
30218409,8343
30261090,4222
30390778,4222
30392227,1330
30431567,3123
30465532,3343
30487826,3334
30563720,1213
30579647,1120
30662862,7131
30703754,3331
30799467,4222
30814187,3259
30942225,2433
30986815,6121
31051267,2211
31217900,6210
31380948,2434
31498462,7119
31527689,5223
31535525,1120
31541725,3221
31580800,7112
31694564,4222
31704994,2432
31770416,5223
31784691,4224
31816391,2433
31819576,5223
31853530,1213
31911621,2522
31959550,5412
32024518,9334
32059012,7212
32113803,9613
32120496,7212
32203688,5223
32349751,3221
32360603,1221
32388059,2432
32439807,2411
32483361,1213
32520109,3143
32523661,7512
32541762,1213
32667362,2432
32689253,5414
32702148,5223
32867449,5414
32997721,8322
33093431,2434
33150926,5120
33163344,1420
33196745,3123
33272169,5223
33478778,2211
33528687,6121
33570375,1221
33613963,5132
33617484,4120
33645300,6210
33807408,4323
33820728,9321
33826816,7212
33867329,6111
33927250,8322
34128588,4222
34251576,9334
34323910,9321
34370227,1213
34486750,8321
34643293,9334
34671595,7223
34715183,7212
34763137,5223
34769205,8322
34840445,5120
34882750,2211
34911911,8332
34974023,8332
34981729,5223
35135357,7533
35339772,7412
35372753,1349
35390365,6121
35424128,1219
35478365,1349
35708881,3143
35727328,7231
35958895,9613
36158895,6221
36319882,6121
36486765,6210
36791074,6121
36811340,6210
36811507,7131
36917993,4110
36945454,7126
36951505,9412
37096728,9212
37105952,9622
37106130,9621
37135261,8343
37155233,1219
37188868,6121
37284181,8321
37424272,9621
37463294,7512
37470970,8321
37682034,7114
37848184,6121
37857161,6121
37880769,1349
37891024,6121
37975651,5120
37996995,6210
38065882,1349
38069629,6121
38087078,7131
38186102,9333
38197902,7131
38201794,1213
38318937,8321
38350874,6210
38452222,6121
38461995,7212
38486009,6121
38519962,6121
38595176,8343
38721378,6121
38762250,6121
38798050,6121
38821257,9613
38821768,2211
38861684,5223
38861847,7121
39016989,1213
39057971,4412
39100180,5132
39117510,5120
39148464,9334
39169231,3343
39193439,2433
39211891,5223
39225050,3341
39269434,4323
39299018,7412
39381600,4412
39397360,3221
39526670,5131
39532314,6121
39532591,1323
39556568,6121
39588571,6121
39667691,7412
39691396,6112
39774797,5120
45404924,7131
46173172,1323
47016836,4222
47929938,5223
49476030,7212
50082321,4222
50336950,5223
50337796,5223
50596792,6121
50600889,9613
50619999,5223
50753364,9333
50832617,6121
51858443,6210
52255114,6121
53313677,2269
53838678,5131
54089509,9333
54094551,2433
54118501,4120
54176059,5412
54180928,1120
54208584,8343
54211115,5223
54219973,1120
54272182,8321
54330279,5412
54353755,1213
54429194,1213
54779353,5120
55012176,9621
55035047,9334
63613853,5223
65542146,1213
65581311,2433
66033381,8321
66112678,4222
66123713,5132
66133226,5223
66143803,9412
78467905,7412
78474483,4222
78676578,4222
78799457,7212
78803142,5412
78820452,3221
88082706,6121
91380890,7212
91516682,6121
91675524,4222
91812887,7222
92162921,5223
92280387,6121
92334523,3123
92373253,6210
92418144,2432
92424966,5223
92677370,7212
92732961,8342
92865305,4110
92953180,1120
92961057,8344
93012958,5223
93097616,4222
93159505,9333
93224271,7412
93363651,1213
101521495,1213
101591406,7131
101743208,9321
101808997,9621
101812383,4120
101903011,2211
101922721,3334
101956485,2522
102077885,5223
102174148,1213
102220307,9333
102301066,4222
102343484,8322
104961372,4222
106033656,2411
110206004,3221
110219818,6121
110266508,9622
110276159,5223
110359189,7212
110575229,5223
110655004,7412
110687750,2432
110792257,2411
110813793,5223
110946103,5223
110972064,1213
110986051,9622
111131689,9333
111408994,1213
111518635,5132
111675912,1213
111715610,9613
111789274,3122
112010453,8322
112132676,3221
112189543,6121
112392896,8321
112538404,9412
112609512,2211
113119434,7112
113295902,4323
113599013,6121
113630976,8182
113677638,8341
113854565,2411
113870859,6121
114201478,6210
114358798,7126
114510767,6112
114638382,5223
114692933,3221
114747492,6121
114748574,1120
114833580,5414
114928513,7114
114951630,5120
122669343,8343
123241668,9613
123312772,5414
124251925,8322
125667257,9333
125766533,7212
125766862,8341
125855324,2269
125927274,4323
125927978,9622
126044998,8321
126112337,7412
126118603,6121
126130494,8321
126235090,4120
126424746,9333
126528774,7412
126636278,9321
126638961,5120
126706852,9621
126896010,2432
127008792,3343
127045399,5223
127133364,3331
128436756,1213
128610148,7212
128836236,3341
128943398,4120
128953794,2432
129027080,1420
129145091,5223
129160495,2432
129256244,1213
129389497,4323
130016626,5223
156729466,5223
165453988,7412
165456431,1213
165509164,9613
165617460,4120
165648258,3341
165671095,1120
166890098,8182
166964894,8311
168121628,4222
168152741,9613
168454499,5223
168626141,1213
168762393,7412
168962975,4222
168988450,1120
169115746,7412
169227088,2269
169271907,2411
169272227,7412
169312087,2411
169333254,3259
169334893,9621
169382124,3343
169432430,5412
169490962,9333
169500269,2411
169528627,3251
169750061,3334
169753803,4222
169908991,1213
170056233,6121
170058377,7212
170114252,7114
170120595,4323
170130308,9621
