index,target
26461447,3343
26464220,3323
26467473,5223
26468989,1349
26471705,4222
26476036,5412
26480630,9621
26480759,7212
26483824,8322
26483941,4222
26484949,9621
26490413,7222
26490523,4323
26491255,2211
26492212,2433
26493035,4224
26496645,9333
26499791,8322
26500507,9333
26618031,4224
26629487,1213
26711094,9621
26715601,8343
26760335,6121
26852211,4222
26879318,9334
26915525,3343
27004627,2240
27086721,5223
27194584,7512
27207501,3323
27238338,3312
27273737,3343
27293528,3221
27322282,4323
27338657,4222
27519690,2211
27599217,9334
27616721,8342
27696979,1221
27744164,5120
27908006,2211
27950280,1221
28079529,5120
28120654,3331
28131000,8322
28164499,9321
28287003,2433
28322781,9613
28362883,8342
28408997,1219
28502380,1420
28544924,3343
28580642,9334
28656067,5223
28682557,9333
28713996,8343
28779402,1219
29045035,2240
29251830,4323
29265059,7223
29317983,8322
29335958,6121
29403222,5223
29412417,1349
29512587,9621
29621132,3343
29699806,8311
29961376,8321
30100994,2433
30135163,4222
30218409,8343
30261090,4222
30390778,4222
30392227,1213
30431567,3123
30465532,4120
30487826,2433
30563720,1221
30579647,1120
30662862,7131
30703754,3331
30799467,4222
30814187,9334
30942225,3331
30986815,6121
31051267,3221
31217900,6210
31380948,5223
31498462,7119
31527689,4222
31535525,1120
31541725,3221
31580800,3331
31694564,4222
31704994,2432
31770416,5223
31784691,4224
31816391,2433
31819576,5223
31853530,1213
31911621,2522
31959550,5412
32024518,3331
32059012,7212
32113803,9613
32120496,6121
32203688,5223
32349751,3221
32360603,1221
32388059,5223
32439807,5223
32483361,1213
32520109,4323
32523661,9321
32541762,1213
32667362,4222
32689253,5414
32702148,1349
32867449,5223
32997721,4323
33093431,4110
33150926,1420
33163344,1420
33196745,3123
33272169,5223
33478778,3221
33528687,8342
33570375,1221
33613963,5132
33617484,4120
33645300,8343
33807408,4323
33820728,9333
33826816,7212
33867329,8342
33927250,8322
34128588,4222
34251576,9334
34323910,9333
34370227,1213
34486750,8321
34643293,1420
34671595,7223
34715183,7412
34763137,7412
34769205,8322
34840445,5120
34882750,9334
34911911,8332
34974023,8332
34981729,5223
35135357,7533
35339772,7412
35372753,1349
35390365,6121
35424128,6210
35478365,1349
35708881,4120
35727328,7231
35958895,9613
